Rank,Startup,Occurrences,Average (in percent)
1,Silmaril,5,100
2,Ardent,5,100
3,Stablebrowse,5,100
4,Insforge,5,100
5,Arga Labs,5,100
6,Primitive,5,100
7,Benchspan,5,100
8,Matforge,5,100
9,Lumius,5,100
10,Dispatch,5,100
11,Alchemy,5,100
12,Harbor,5,100
13,Hub.Xyz,4,80
14,Refortifai,4,80
15,Indexable,4,80
16,Mount,4,80
17,Adialante,4,80
18,Tenet Industries,3,60
19,Clara,3,60
20,Smol Machines,2,40
21,Pairio,2,40
22,Smartbase,2,40
23,Inloop Robotics,1,20
24,Replicas,1,20
25,Nine Fives,1,20
26,Taiga,1,20
27,Klaimee,1,20
28,Maquoketa Research,1,20
29,9 Mothers,1,20
30,Regbase,1,20
