Rank,Startup,Occurrences,Average (in percent)
1,Matforge,5,100
2,Tenet Industries,5,100
3,Maquoketa Research,5,100
4,9 Mothers,5,100
5,Dispatch,5,100
6,Lumius,5,100
7,Hub.Xyz,5,100
8,Clara,5,100
9,Standard Signal,5,100
10,Projectx,4,80
11,Mount,4,80
12,Silmaril,4,80
13,Insforge,4,80
14,Eden Robotics,3,60
15,Inloop Robotics,3,60
16,Benchspan,3,60
17,Alchemy,3,60
18,Primitive,3,60
19,Klaimee,2,40
20,Refortifai,2,40
21,Cohesion,2,40
22,Superset,2,40
23,Stablebrowse,2,40
24,Ardent,2,40
25,Keyframe Labs,2,40
26,Ontora,1,20
27,Runharbor,1,20
28,Kimpton Ai,1,20
29,Govguard,1,20
30,Indexable,1,20
31,Pentagon,1,20
32,Adialante,1,20
33,Harbor,1,20
34,Aster,1,20
35,Gigacatalyst,1,20
