Rank,Startup,Occurrences,Average (in percent)
1,Hub.Xyz,5,100
2,Projectx,5,100
3,Cohesion,5,100
4,Eden Robotics,5,100
5,Drip,3,60
6,Asendia Ai,3,60
7,Silmaril,3,60
8,Tenet Industries,3,60
9,Lumius,3,60
10,Matforge,3,60
11,Dispatch,3,60
12,Aster,3,60
13,Ardent,3,60
14,Archer,2,40
15,Callab Ai,2,40
16,Ontora,2,40
17,Elyra,2,40
18,Juno,2,40
19,Standard Signal,2,40
20,9 Mothers,2,40
21,Fuchsia,2,40
22,Adialante,2,40
23,"Gikl, Inc",2,40
24,Govguard,2,40
25,Mount,2,40
26,Clara,2,40
27,Minicor,1,20
28,Humwork,1,20
29,Openwork,1,20
30,Lightsprint,1,20
31,Tasklet,1,20
32,Revnu,1,20
33,Trellis,1,20
34,Napkin Math,1,20
35,Sidekick,1,20
36,Arga Labs,1,20
37,Replicas,1,20
38,Benchspan,1,20
39,Inloop Robotics,1,20
40,Superset,1,20
41,Huscarl,1,20
42,Kimpton Ai,1,20
43,Mochatrade,1,20
44,Gigacatalyst,1,20
45,Insforge,1,20
46,Pairio,1,20
47,Stage,1,20
48,Lamina Labs,1,20
49,Inth,1,20
50,Alchemy,1,20
51,Harbor,1,20
52,Aice Power,1,20
53,Nine Fives,1,20
