Rank,Startup,Occurrences,Average (in percent)
1,Projectx,5,100
2,Hub.Xyz,5,100
3,Ardent,5,100
4,Silmaril,5,100
5,Tenet Industries,5,100
6,Dispatch,5,100
7,Eden Robotics,5,100
8,Matforge,5,100
9,Cohesion,5,100
10,Ontora,5,100
11,Standard Signal,5,100
12,Mount,4,80
13,Drip,4,80
14,Lumius,4,80
15,Minicor,3,60
16,Arga Labs,3,60
17,9 Mothers,3,60
18,Korso,3,60
19,Alchemy,3,60
20,Insforge,3,60
21,Harbor,2,40
22,Benchspan,2,40
23,Primitive,2,40
24,Pairio,1,20
25,Dayjob,1,20
26,Huscarl,1,20
27,Smartbase,1,20
28,Arzana,1,20
29,Modern,1,20
30,Callab Ai,1,20
31,Runtime,1,20
32,Tasklet,1,20
