Rank,Startup,Occurrences,Average (in percent)
1,Hub.Xyz,5,100
2,Projectx,4,80
3,Ontora,4,80
4,Silmaril,4,80
5,Benchspan,4,80
6,Lumius,4,80
7,Drip,3,60
8,Arga Labs,3,60
9,Stablebrowse,3,60
10,Indexable,3,60
11,Runtime,3,60
12,Replicas,3,60
13,Matforge,3,60
14,Harbor,3,60
15,Clara,3,60
16,Smartbase,3,60
17,Cohesion,3,60
18,Callab Ai,3,60
19,Kimpton Ai,3,60
20,Mount,3,60
21,Ardent,3,60
22,Insforge,2,40
23,Alchemy,2,40
24,Korso,2,40
25,Eden Robotics,2,40
26,Tasklet,2,40
27,Asendia Ai,2,40
28,Govguard,2,40
29,Pairio,2,40
30,Gigacatalyst,2,40
31,Refortifai,2,40
32,Keyframe Labs,1,20
33,Sidekick,1,20
34,Kinect,1,20
35,Prism,1,20
36,Trellis,1,20
37,Huscarl,1,20
38,Superset,1,20
39,Datost,1,20
40,Klaimee,1,20
41,Interfaze,1,20
