Rank,Startup,Occurrences,Average (in percent)
1,Projectx,5,100
2,Eden Robotics,5,100
3,Cohesion,5,100
4,Ontora,5,100
5,Tasklet,5,100
6,Mount,5,100
7,Ardent,5,100
8,Klaimee,4,80
9,Primitive,4,80
10,Modern,4,80
11,Benchspan,4,80
12,Hub.Xyz,4,80
13,Stablebrowse,3,60
14,Archer,3,60
15,Asendia Ai,3,60
16,Gigacatalyst,2,40
17,Matforge,2,40
18,Pentagon,2,40
19,Runtime,2,40
20,Superset,2,40
21,Indexable,2,40
22,Drip,2,40
23,Refortifai,2,40
24,Silmaril,2,40
25,Callab Ai,2,40
26,Lightsprint,2,40
27,Prism,2,40
28,Kimpton Ai,2,40
29,Standard Signal,2,40
30,Pulsent,1,20
31,Aster,1,20
32,Openwork,1,20
33,Elyra,1,20
34,Trellis,1,20
35,Pairio,1,20
36,Arga Labs,1,20
37,Replicas,1,20
