Rank,Startup,Occurrences,Average (in percent)
1,Projectx,5,100
2,Primitive,5,100
3,Lumius,5,100
4,Hub.Xyz,4,80
5,Korso,4,80
6,Clara,4,80
7,Harbor,4,80
8,Cohesion,4,80
9,Tenet Industries,4,80
10,Dispatch,4,80
11,Insforge,4,80
12,Drip,3,60
13,Eden Robotics,3,60
14,Runtime,3,60
15,Archer,3,60
16,Matforge,3,60
17,Standard Signal,3,60
18,Silmaril,3,60
19,Refortifai,3,60
20,Ontora,2,40
21,Pairio,2,40
22,Juno,2,40
23,Mount,2,40
24,Lab0,2,40
25,Callab Ai,2,40
26,Alchemy,2,40
27,Kimpton Ai,2,40
28,Smartbase,2,40
29,Modern,1,20
30,Maquoketa Research,1,20
31,Superset,1,20
32,9 Mothers,1,20
33,Aster,1,20
34,Ardent,1,20
35,Gigacatalyst,1,20
36,Stage,1,20
37,Inloop Robotics,1,20
38,Arzana,1,20
39,Taiga,1,20
