Rank,Startup,Occurrences,Average (in percent)
1,Projectx,5,100
2,Mount,5,100
3,Arga Labs,5,100
4,Dispatch,5,100
5,Eden Robotics,5,100
6,Lumius,5,100
7,Alchemy,5,100
8,Cohesion,5,100
9,Kimpton Ai,5,100
10,Silmaril,4,80
11,Clara,4,80
12,Matforge,4,80
13,Primitive,4,80
14,Klaimee,3,60
15,Benchspan,3,60
16,Inloop Robotics,3,60
17,Maquoketa Research,3,60
18,Juno,2,40
19,Hub.Xyz,2,40
20,Govguard,2,40
21,Rentahuman,2,40
22,Fuchsia,2,40
23,Arzana,2,40
24,Refortifai,1,20
25,Standard Signal,1,20
26,Andustry,1,20
27,Aster,1,20
28,Trellis,1,20
29,Argo Labs,1,20
30,Korso,1,20
31,Runtime,1,20
32,Asendia Ai,1,20
33,Drip,1,20
34,Keyframe Labs,1,20
35,Pairio,1,20
36,Tenet Industries,1,20
37,Insforge,1,20
38,Pulsent,1,20
