Rank,Startup,Occurrences,Average (in percent)
1,Hub.Xyz,5,100
2,Projectx,5,100
3,Primitive,5,100
4,Ardent,5,100
5,Ontora,5,100
6,Callab Ai,5,100
7,Drip,4,80
8,Insforge,4,80
9,Mount,4,80
10,Cohesion,4,80
11,Eden Robotics,4,80
12,Silmaril,3,60
13,Benchspan,3,60
14,Pulsent,3,60
15,Testerarmy,3,60
16,Pairio,3,60
17,Alchemy,3,60
18,Stage,2,40
19,Matforge,2,40
20,Arga Labs,2,40
21,Refortifai,2,40
22,Lumius,2,40
23,Tasklet,2,40
24,Huscarl,2,40
25,Indexable,1,20
26,Stablebrowse,1,20
27,Klaimee,1,20
28,Salesgraph,1,20
29,Modern,1,20
30,Replicas,1,20
31,Prism,1,20
32,Keyframe Labs,1,20
33,Asendia Ai,1,20
34,Runtime,1,20
35,Standard Signal,1,20
36,Korso,1,20
37,Taiga,1,20
38,Framewise Health,1,20
39,Dispatch,1,20
40,Govguard,1,20
41,Kimpton Ai,1,20
42,Gigacatalyst,1,20
