Rank,Startup,Occurrences,Average (in percent)
1,Mount,5,100
2,Benchspan,5,100
3,Ardent,5,100
4,Datost,5,100
5,Trellis,5,100
6,Harbor,5,100
7,Clara,5,100
8,Modern,5,100
9,Kimpton Ai,5,100
10,Smartbase,5,100
11,Interfaze,4,80
12,Standard Signal,4,80
13,Korso,4,80
14,Sazabi,3,60
15,Superset,3,60
16,Replicas,3,60
17,Arzana,3,60
18,Saffron,3,60
19,Complir,2,40
20,Drip,2,40
21,Refortifai,2,40
22,Runtime,2,40
23,Indexable (Ix.Dev),2,40
24,Lumius,2,40
25,Stablebrowse,2,40
26,Manicule,1,20
27,Indexable,1,20
28,Matforge,1,20
29,Adialante,1,20
30,Dispatch,1,20
31,Govguard,1,20
32,Rentahuman,1,20
33,Humwork,1,20
34,Tenet Industries,1,20
