domain,google_mentions,Velocity_Score,mentions_score,hybrid_score
heypocket.com,755,162000000.0,37.75,162000000.0
mangomedical.io,3,2000000.0,0.15000000000000002,2000000.0
didit.me,4350,1000000.0,217.5,1000000.0
corvera.ai,64,300000.0,3.2,300000.0
samora.ai,171,250000.0,8.55,250000.0
avoice.co,36,240000.0,1.8,240000.0
21st.dev,4260,150000.0,213.0,150000.0
tryoctapulse.com,10,50000.0,0.5,50000.0
luel.ai,591,28500.0,29.55,28500.0
paxhistoria.co,10500,14000.0,525.0,14000.0
openspec.dev,239,3000.0,11.950000000000001,3000.0
gru.space,13300,0.0,665.0,665.0
o11.ai,1140,0.0,57.0,57.0
runanywhere.ai,971,0.0,48.550000000000004,48.550000000000004
patientdesk.ai,899,0.0,44.95,44.95
arcprize.org,860,0.0,43.0,43.0
spotpay.ai,564,0.0,28.200000000000003,28.200000000000003
ressl.ai,500,0.0,25.0,25.0
bubblelab.ai,483,0.0,24.150000000000002,24.150000000000002
jinba.io,310,0.0,15.5,15.5
axionorbital.space,309,0.0,15.450000000000001,15.450000000000001
catchbackcards.com,295,0.0,14.75,14.75
palus.finance,278,0.0,13.9,13.9
codewisp.ai,257,0.0,12.850000000000001,12.850000000000001
fenrock.ai,241,0.0,12.05,12.05
compresr.ai,241,0.0,12.05,12.05
visiblsemi.com,235,0.0,11.75,11.75
overshoot.ai,230,0.0,11.5,11.5
fort.cx,222,0.0,11.100000000000001,11.100000000000001
sparkles.dev,221,0.0,11.05,11.05
beesafe.ai,209,0.0,10.450000000000001,10.450000000000001
overdrive.health,179,0.0,8.950000000000001,8.950000000000001
confluence.sh,175,0.0,8.75,8.75
ndea.com,168,0.0,8.4,8.4
usecardboard.com,165,0.0,8.25,8.25
terranox.ai,158,0.0,7.9,7.9
humanarchive.ai,156,0.0,7.800000000000001,7.800000000000001
zatanna.ai,154,0.0,7.7,7.7
incidentfox.ai,154,0.0,7.7,7.7
beaconhealth.ai,154,0.0,7.7,7.7
orthogonal.com,150,0.0,7.5,7.5
caretta.so,144,0.0,7.2,7.2
wayco.ai,131,0.0,6.550000000000001,6.550000000000001
ashr.io,130,0.0,6.5,6.5
congruent.io,130,0.0,6.5,6.5
cofia.ai,122,0.0,6.1000000000000005,6.1000000000000005
syntheticsciences.ai,117,0.0,5.8500000000000005,5.8500000000000005
thetokencompany.com,115,0.0,5.75,5.75
menza.ai,115,0.0,5.75,5.75
axisanalysis.com,115,0.0,5.75,5.75
copperlane.ai,113,0.0,5.65,5.65
valgo.ai,112,0.0,5.6000000000000005,5.6000000000000005
shofo.ai,103,0.0,5.15,5.15
usechamber.io,99,0.0,4.95,4.95
legalos.ai,97,0.0,4.8500000000000005,4.8500000000000005
bookoapp.com,97,0.0,4.8500000000000005,4.8500000000000005
ramain.ai,97,0.0,4.8500000000000005,4.8500000000000005
aemon.ai,95,0.0,4.75,4.75
usekita.com,92,0.0,4.6000000000000005,4.6000000000000005
sitefire.ai,92,0.0,4.6000000000000005,4.6000000000000005
trylaurence.com,90,0.0,4.5,4.5
sentrial.com,90,0.0,4.5,4.5
rev1.so,84,0.0,4.2,4.2
lexius.ai,84,0.0,4.2,4.2
tryvela.ai,79,0.0,3.95,3.95
tryq2q.com,78,0.0,3.9000000000000004,3.9000000000000004
sequencemkts.com,77,0.0,3.85,3.85
skillsync.wiki,77,0.0,3.85,3.85
origami-robotics.com,77,0.0,3.85,3.85
zerosettle.io,76,0.0,3.8000000000000003,3.8000000000000003
terminaluse.com,76,0.0,3.8000000000000003,3.8000000000000003
eigenpal.com,74,0.0,3.7,3.7
protent.ai,69,0.0,3.45,3.45
grazemate.com,67,0.0,3.35,3.35
lucenthq.com,66,0.0,3.3000000000000003,3.3000000000000003
fed10.ai,65,0.0,3.25,3.25
oximy.com,64,0.0,3.2,3.2
cumuluslabs.io,63,0.0,3.1500000000000004,3.1500000000000004
klausai.com,62,0.0,3.1,3.1
silahq.com,61,0.0,3.0500000000000003,3.0500000000000003
pranadoc.com,60,0.0,3.0,3.0
paysponge.com,58,0.0,2.9000000000000004,2.9000000000000004
mousecat.ai,58,0.0,2.9000000000000004,2.9000000000000004
chasi.co,57,0.0,2.85,2.85
valence.trade,57,0.0,2.85,2.85
mendral.com,55,0.0,2.75,2.75
usecrow.ai,53,0.0,2.6500000000000004,2.6500000000000004
returnsignals.com,50,0.0,2.5,2.5
pirislabs.io,50,0.0,2.5,2.5
voltairlabs.com,47,0.0,2.35,2.35
usegrade.com,47,0.0,2.35,2.35
unifold.io,44,0.0,2.2,2.2
emdash.sh,43,0.0,2.15,2.15
scoutout.ai,43,0.0,2.15,2.15
daivin.tech,42,0.0,2.1,2.1
buttoncomputer.com,41,0.0,2.0500000000000003,2.0500000000000003
celltype.com,41,0.0,2.0500000000000003,2.0500000000000003
haladir.com,41,0.0,2.0500000000000003,2.0500000000000003
librarlabs.com,41,0.0,2.0500000000000003,2.0500000000000003
voxelenergy.com,41,0.0,2.0500000000000003,2.0500000000000003
vectorlegal.com,40,0.0,2.0,2.0
try.wideframe.com,40,0.0,2.0,2.0
arcline-ai.com,40,0.0,2.0,2.0
pantainsure.com,40,0.0,2.0,2.0
dittobio.com,40,0.0,2.0,2.0
proximitty.ai,39,0.0,1.9500000000000002,1.9500000000000002
usecarson.com,39,0.0,1.9500000000000002,1.9500000000000002
shortkit.dev,39,0.0,1.9500000000000002,1.9500000000000002
stilta.com,39,0.0,1.9500000000000002,1.9500000000000002
arzule.com,39,0.0,1.9500000000000002,1.9500000000000002
polymathlabs.ai,38,0.0,1.9000000000000001,1.9000000000000001
rumacare.com,37,0.0,1.85,1.85
voygr.tech,34,0.0,1.7000000000000002,1.7000000000000002
strandai.com,32,0.0,1.6,1.6
runcanary.ai,31,0.0,1.55,1.55
runcaptain.com,30,0.0,1.5,1.5
maywoodai.com,30,0.0,1.5,1.5
tryclam.com,29,0.0,1.4500000000000002,1.4500000000000002
kytentech.com,28,0.0,1.4000000000000001,1.4000000000000001
carrotlabs.ai,28,0.0,1.4000000000000001,1.4000000000000001
getbalance.ai,27,0.0,1.35,1.35
sonarly.com,26,0.0,1.3,1.3
crosslayerlabs.com,26,0.0,1.3,1.3
getnoetic.ai,26,0.0,1.3,1.3
tryasimov.ai,26,0.0,1.3,1.3
ritivel.com,25,0.0,1.25,1.25
pollinate.tech,25,0.0,1.25,1.25
robodock.tech,25,0.0,1.25,1.25
trainburt.com,25,0.0,1.25,1.25
inviscidai.com,25,0.0,1.25,1.25
trymaven.com,25,0.0,1.25,1.25
usereframe.ai,10,0.0,0.5,0.5
mochacare.com,10,0.0,0.5,0.5
usepolymorph.com,10,0.0,0.5,0.5
corelayer.com,10,0.0,0.5,0.5
unisson.ai,10,0.0,0.5,0.5
hlaboratories.com,10,0.0,0.5,0.5
oxus-ai.com,10,0.0,0.5,0.5
onerobot.io,10,0.0,0.5,0.5
fullseam.com,10,0.0,0.5,0.5
10xscience.com,10,0.0,0.5,0.5
runcascade.com,10,0.0,0.5,0.5
syntropy.io,10,0.0,0.5,0.5
autositu.com,10,0.0,0.5,0.5
rhizomeai.com,10,0.0,0.5,0.5
seeing-systems.com,10,0.0,0.5,0.5
usesalus.ai,10,0.0,0.5,0.5
veriad.com,9,0.0,0.45,0.45
verdexai.com,9,0.0,0.45,0.45
therubric.ai,9,0.0,0.45,0.45
talkingcomputers.ai,9,0.0,0.45,0.45
pollen.cx,9,0.0,0.45,0.45
zymbly.com,8,0.0,0.4,0.4
revion.inc,8,0.0,0.4,0.4
beyondreachlabs.com,8,0.0,0.4,0.4
docurahealth.com,8,0.0,0.4,0.4
payna.com,8,0.0,0.4,0.4
tryremy.ai,8,0.0,0.4,0.4
byteport.io,7,0.0,0.35000000000000003,0.35000000000000003
servo7.com,7,0.0,0.35000000000000003,0.35000000000000003
