name,website,yc_url
Cardinal,https://trycardinal.ai/,https://www.ycombinator.com/companies/trycardinal-ai
Wideframe,https://try.wideframe.com/,https://www.ycombinator.com/companies/wideframe
Martini,https://martini.film/,https://www.ycombinator.com/companies/martini
Condor Energy,https://www.condor.energy/,https://www.ycombinator.com/companies/condor-energy
Resonate,https://resonate.audio/,https://www.ycombinator.com/companies/resonate
Shofo,https://shofo.ai/,https://www.ycombinator.com/companies/shofo
Wayco,https://wayco.ai/,https://www.ycombinator.com/companies/wayco
Unifold,https://unifold.io/,https://www.ycombinator.com/companies/unifold
Carrot Labs,https://carrotlabs.ai/,https://www.ycombinator.com/companies/carrot-labs
Aurorin CAD,https://aurorincad.com/,https://www.ycombinator.com/companies/aurorin-cad
DAIVIN!,https://www.daivin.tech/,https://www.ycombinator.com/companies/daivin
GrazeMate,https://grazemate.com/,https://www.ycombinator.com/companies/grazemate
Origami Robotics,https://www.origami-robotics.com/,https://www.ycombinator.com/companies/origami-robotics
Librar Labs,https://www.librarlabs.com/,https://www.ycombinator.com/companies/librar-labs
Rubric AI,https://therubric.ai/,https://www.ycombinator.com/companies/rubric-ai
Zymbly,https://www.zymbly.com/,https://www.ycombinator.com/companies/zymbly
Ritivel,https://www.ritivel.com/,https://www.ycombinator.com/companies/ritivel
Polymorph,https://usepolymorph.com/,https://www.ycombinator.com/companies/polymorph
Pollinate,https://www.pollinate.tech/,https://www.ycombinator.com/companies/pollinate
SpotPay,https://www.spotpay.ai/,https://www.ycombinator.com/companies/spotpay
VOYGR,https://voygr.tech/,https://www.ycombinator.com/companies/voygr
MochaCare,https://www.mochacare.com/,https://www.ycombinator.com/companies/mochacare
Vela,https://tryvela.ai/ps,https://www.ycombinator.com/companies/vela
Veriad,https://veriad.com/,https://www.ycombinator.com/companies/veriad
Talking Computers,https://talkingcomputers.ai/,https://www.ycombinator.com/companies/talking-computers
Copperlane,https://www.copperlane.ai/,https://www.ycombinator.com/companies/copperlane
Canary,https://www.runcanary.ai/,https://www.ycombinator.com/companies/canary
Grade,https://usegrade.com/,https://www.ycombinator.com/companies/grade
Sila,https://silahq.com/,https://www.ycombinator.com/companies/sila
Maven,https://trymaven.com/,https://www.ycombinator.com/companies/maven
Moda,https://usemoda.ai/,https://www.ycombinator.com/companies/moda
The Token Company,https://thetokencompany.com/,https://www.ycombinator.com/companies/the-token-company
BeeSafe AI,https://beesafe.ai/,https://www.ycombinator.com/companies/beesafe-ai
Fed10,https://www.fed10.ai/,https://www.ycombinator.com/companies/fed10
Squid,https://squid.energy/,https://www.ycombinator.com/companies/squid
Crow,https://www.usecrow.ai/,https://www.ycombinator.com/companies/crow
Scout Out,https://scoutout.ai/,https://www.ycombinator.com/companies/scout-out
Booko,https://bookoapp.com/,https://www.ycombinator.com/companies/booko
Corelayer,https://www.corelayer.com/,https://www.ycombinator.com/companies/corelayer
General Legal,https://general.legal/,https://www.ycombinator.com/companies/general-legal
Fort,https://fort.cx/,https://www.ycombinator.com/companies/fort
Balance,https://getbalance.ai/,https://www.ycombinator.com/companies/getbalance
Chasi,https://chasi.co/,https://www.ycombinator.com/companies/chasi
Remy AI,https://www.tryremy.ai/,https://www.ycombinator.com/companies/remy-ai
Glue,https://buildwithglue.com/,https://www.ycombinator.com/companies/glue
o11,https://o11.ai/,https://www.ycombinator.com/companies/o11
Doomersion,https://doomersion.com/,https://www.ycombinator.com/companies/doomersion
Sequence Markets,https://sequencemkts.com/,https://www.ycombinator.com/companies/sequence-markets
Ditto Biosciences,https://www.dittobio.com/,https://www.ycombinator.com/companies/ditto-biosciences
Servo7,https://servo7.com/,https://www.ycombinator.com/companies/servo7
Arzule,https://www.arzule.com/,https://www.ycombinator.com/companies/arzule
Voxel Energy,https://voxelenergy.com/,https://www.ycombinator.com/companies/voxel-energy
Polymath,https://polymathlabs.ai/,https://www.ycombinator.com/companies/polymath
Bubble Lab,https://bubblelab.ai/,https://www.ycombinator.com/companies/bubble-lab
Pocket,https://heypocket.com/now,https://www.ycombinator.com/companies/pocket
Byteport,https://byteport.io/,https://www.ycombinator.com/companies/byteport
Constellation Space,https://constellationspace.ai/,https://www.ycombinator.com/companies/constellation-space
Mendral,https://mendral.com/,https://www.ycombinator.com/companies/mendral
AxionOrbital Space,https://axionorbital.space/,https://www.ycombinator.com/companies/axionorbital-space
Oximy,https://oximy.com/,https://www.ycombinator.com/companies/oximy
Caretta,https://www.caretta.so/,https://www.ycombinator.com/companies/caretta
Samora AI,https://samora.ai/,https://www.ycombinator.com/companies/samora-ai
Human Archive,https://www.humanarchive.ai/,https://www.ycombinator.com/companies/human-archive
Forum,https://www.forum.market/,https://www.ycombinator.com/companies/forum
sitefire,https://sitefire.ai/,https://www.ycombinator.com/companies/sitefire
Robby,https://tryrobby.com/,https://www.ycombinator.com/companies/robby
Ressl AI,https://ressl.ai/,https://www.ycombinator.com/companies/ressl-ai
Emdash,https://emdash.sh/,https://www.ycombinator.com/companies/emdash
Congruent,https://congruent.io/,https://www.ycombinator.com/companies/congruent
Reframe,http://usereframe.ai/,https://www.ycombinator.com/companies/usereframe
Valence,https://valence.trade/,https://www.ycombinator.com/companies/valence
Approxima,https://approxima.ai/,https://www.ycombinator.com/companies/approxima
Traverse,https://www.traverse.so/,https://www.ycombinator.com/companies/traverse
Revion,https://revion.inc/,https://www.ycombinator.com/companies/revion
