Startup,arr,pilot_revenue,loi,signups,active_users,activity_volume,ecosystem_pull,mom_growth,Velocity_Score
Pocket,27000000,0,0,0,0,0,0,0.5,162000000.0
Mango Medical,0,0,10000000,0,0,0,0,0.0,2000000.0
Didit,0,0,0,0,0,4000000,0,0.0,1000000.0
Corvera,300000,0,0,0,0,0,0,0.0,300000.0
Samora AI,0,0,0,0,0,1000000,0,0.0,250000.0
Avoice,240000,0,0,0,0,0,0,0.0,240000.0
21st,0,0,0,1000000,0,0,0,0.0,150000.0
OctaPulse,0,100000,0,0,0,0,0,0.0,50000.0
Luel,0,0,0,190000,0,0,0,0.0,28500.0
Pax Historia,0,0,0,0,35000,0,0,0.0,14000.0
OpenSpec,0,0,0,0,0,0,30000,0.0,3000.0
